Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2021-07-17 06:18:44,2021-07-17 06:18:44,Exchanged to HRK,309.45,0.00,HRK,COMPLETED,309.45
CARD_PAYMENT,Current,2021-07-17 11:22:19,2021-07-18 11:58:21,Pita Pit,-77.00,0.00,HRK,COMPLETED,232.45
CARD_PAYMENT,Current,2021-07-17 10:51:07,2021-07-18 12:40:27,Autocesta A4 Sv.helena,-44.00,0.00,HRK,COMPLETED,188.45
CARD_PAYMENT,Current,2021-07-17 15:56:03,2021-07-18 12:40:27,Autocesta A1 Maslenica,-121.00,0.00,HRK,COMPLETED,67.45
EXCHANGE,Current,2021-07-19 08:03:55,2021-07-19 08:03:55,Exchanged to HRK,624.49,0.00,HRK,COMPLETED,691.94
CARD_PAYMENT,Current,2021-07-19 09:30:11,2021-07-20 15:24:45,Paydo Web,-15.00,0.00,HRK,COMPLETED,676.94
CARD_PAYMENT,Current,2021-07-19 12:51:13,2021-07-20 15:24:45,Turist.age.south-Tours,-140.00,0.00,HRK,COMPLETED,536.94
CARD_PAYMENT,Current,2021-07-19 11:52:18,2021-07-20 15:24:45,Paydo Web,-5.00,0.00,HRK,COMPLETED,531.94
CARD_PAYMENT,Current,2021-07-19 11:09:30,2021-07-20 16:36:30,Candy Bar,-21.17,0.00,HRK,COMPLETED,510.77
CARD_PAYMENT,Current,2021-07-19 08:34:06,2021-07-20 16:36:30,Autocesta A1 Prgomet-P,-33.00,0.00,HRK,COMPLETED,477.77
CARD_PAYMENT,Current,2021-07-19 12:40:21,2021-07-20 16:38:39,Pbz7bipa,-6.90,0.00,HRK,COMPLETED,470.87
CARD_PAYMENT,Current,2021-07-19 08:04:52,2021-07-20 18:08:17,Pbztlukoilbp,-390.80,0.00,HRK,COMPLETED,80.07
EXCHANGE,Current,2021-07-20 18:23:23,2021-07-20 18:23:23,Exchanged to HRK,1045.20,0.00,HRK,COMPLETED,1125.27
CARD_PAYMENT,Current,2021-07-20 06:09:59,2021-07-21 15:37:51,Paydo Web,-50.00,0.00,HRK,COMPLETED,1075.27
CARD_PAYMENT,Current,2021-07-20 11:23:34,2021-07-21 16:24:58,Studenac 56,-19.98,0.00,HRK,COMPLETED,1055.29
CARD_PAYMENT,Current,2021-07-20 18:23:42,2021-07-21 16:24:58,Ribola Prod.9,-104.69,0.00,HRK,COMPLETED,950.60
CARD_PAYMENT,Current,2021-07-21 18:34:50,2021-07-22 17:49:04,Monaco Fast Food,-100.00,0.00,HRK,COMPLETED,850.60
CARD_PAYMENT,Current,2021-07-22 12:47:22,2021-07-23 17:43:30,Pbztpetrol,-316.82,0.00,HRK,COMPLETED,533.78
CARD_PAYMENT,Current,2021-07-22 08:15:26,2021-07-23 18:29:58,Smajlic,-440.00,0.00,HRK,COMPLETED,93.78
CARD_PAYMENT,Current,2021-07-22 15:15:41,2021-07-24 16:16:13,Pbztplodine,-63.73,0.00,HRK,COMPLETED,30.05
CARD_PAYMENT,Current,2021-07-23 09:34:25,2021-07-24 17:40:05,Pbztplitvice,-6.00,0.00,HRK,COMPLETED,24.05
